処理スキップ,仕入番号,行番号,連動パターンNo,自社部門コード,自社部門名,自社担当者コード,自社担当者名,自社部門、担当者の印字,案件番号,仕入日,件名,仕入先コード,仕入先名,仕入先担当者,締め支払方法,支払区分,支払方法,仕入締日,支払予定日,消費税率,検収書コメント(上段),検収書コメント(下段),検収書コメント(フッター),支払明細書コメント(上段),支払明細書コメント(下段),支払明細書コメント(フッター),商品コード,商品名,商品名（下段）,数量,単位,仕入単価,税区分,内外税,備考,倉庫割振り連番,倉庫コード,倉庫数量,発注番号
,89,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0010,アイアカネ工房,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,90,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0040,雲仙みらいかたる,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,91,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0070,ＳＳＣ,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,92,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0090,海老の宮川,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,93,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0100,おばまミルク,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,94,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0120,お茶処しまだ,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,95,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0160,落水正商店,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,96,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0840,㈱天洋丸,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,97,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0170,河長,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,98,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0180,刈水庵,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,99,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0190,金澤海産,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,100,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0200,勝手,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,101,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0210,喜代屋,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,102,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0220,協和商工,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,103,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0250,北田物産,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,104,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0270,クルス,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,105,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0300,こじま,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,106,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0320,佐藤牛乳,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,107,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0350,三幸食品,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,108,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0360,ショクリュー,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,109,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0370,シロタニコウセイ,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,110,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0400,進藤せんぺい,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,111,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0410,ＪＴＢ商事,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,112,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0450,高橋商店,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,113,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0470,田中鮮魚,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,114,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0480,ダンガミ ウミノ酒店,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,115,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0490,チョーコー醤油,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,116,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0510,トーホーフードサービス,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,117,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0525,とさや酒店,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,118,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0540,ナカヤマリフレッシュ長崎,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,119,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0600,西原商会九州長崎営業所,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,120,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0610,日本食研,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,121,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0620,早瀬海産,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,122,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0630,バカロレア,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,123,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0670,フレッシュ青果 長崎営業所,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,124,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0680,藤田チェリー豆総本店,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,125,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0700,文旦堂,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,126,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0730,本多製麺,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,127,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0740,マツオファーム,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,128,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0750,丸惣屋,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,129,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0760,三輪商事,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,130,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0770,もみの木,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,131,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0780,森崎豆腐,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,132,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0800,ヤマジョウ,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,133,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0810,湯町酒店,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,134,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0820,よろこびの里,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,135,1,1,0,部門なし,,,印字しない,,2022/2/14,,s860,グリーンティ五島,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,136,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0020,アクア工学,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,137,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0030,イプロス,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,138,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0060,ＳＡＲＣ計画研究所,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,139,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0080,瑛知事務所,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,140,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0110,オリエンス,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,141,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0130,小浜産業,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,142,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0140,小浜自動車工業,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,143,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0150,小浜清掃社,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,144,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0230,九電工 島原営業所,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,145,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0240,北川商店,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,146,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0260,くまさき,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,147,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0280,草野レンタカー,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,148,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0290,グローリー,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,149,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0330,佐藤事務所,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,150,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0340,佐藤清掃,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,151,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0380,シロタニ木工,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
